Game ID,Timestamp,Numbers
562,03/03/26 13:22:13,41-31-27-4-73-13-60-20-74-17-57-49-29-54-72-36-63-11-7-80
563,03/03/26 13:25:50,8-66-3-23-9-4-47-65-2-74-20-51-59-21-45-13-67-77-48-6
564,03/03/26 13:30:36,24-38-16-32-21-12-54-22-78-58-48-31-68-36-49-79-72-46-11-9
565,03/03/26 13:36:53,55-17-26-3-18-23-67-64-42-43-36-45-70-60-19-68-66-76-5-58
566,03/03/26 13:46:06,2-76-13-68-5-44-6-4-64-9-50-35-32-72-27-43-20-31-73-37
567,03/03/26 13:51:56,37-64-46-7-25-57-42-74-76-73-47-19-6-52-49-53-35-59-39-61
568,03/03/26 13:55:35,51-75-27-38-5-10-66-71-57-63-39-33-26-46-30-36-20-43-15-28
569,03/03/26 14:10:24,40-18-79-76-60-41-50-24-80-1-22-69-4-9-63-67-64-11-57-72
570,03/03/26 14:14:09,77-74-5-45-66-31-21-36-40-51-79-57-39-62-53-28-37-18-73-50
571,03/03/26 14:18:18,24-14-73-70-10-19-40-60-3-30-7-57-74-53-48-62-42-4-69-55
572,03/03/26 14:23:27,49-15-77-10-27-25-5-1-23-26-80-19-46-65-53-44-29-70-74-17
573,03/03/26 14:34:58,72-69-63-9-52-27-55-33-70-79-49-61-18-28-67-51-24-21-29-71
574,03/03/26 14:39:03,20-21-35-9-31-5-40-30-79-23-54-27-57-46-50-49-41-37-48-75
575,03/03/26 14:43:31,11-18-76-46-47-60-43-15-54-39-16-21-1-35-14-78-7-36-41-72
576,03/03/26 14:51:07,50-2-39-49-64-8-62-3-54-69-44-67-11-52-9-41-77-53-32-30
